Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=MountType~String~MountType~100|Field=PackageReference~String~PackageReference~100|Field=Center-X(Mil)~String~Center-X(Mil)~100|Field=Center-X(mm)~String~Center-X(mm)~100|Field=Center-Y(Mil)~String~Center-Y(Mil)~100|Field=Center-Y(mm)~String~Center-Y(mm)~100|Field=Layer~String~Layer~100|Field=Pad-X(Mil)~String~Pad-X(Mil)~100|Field=Pad-X(mm)~String~Pad-X(mm)~100|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~100|Field=Pad-Y(mm)~String~Pad-Y(mm)~100|Field=Ref-X(Mil)~String~Ref-X(Mil)~100|Field=Ref-X(mm)~String~Ref-X(mm)~100|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~100|Field=Ref-Y(mm)~String~Ref-Y(mm)~100|Field=Rotation~String~Rotation~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MD029A.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PrjPcb|ReportField=Title~Pick and Place For Variant [001] of Project [MD029A.PrjPcb] (PCB Document : MD029A.PcbDoc)|ReportField=ReportTime~4:00:24 PM|ReportField=ReportDate~10/26/2020|ReportField=ReportDateTime~10/26/2020 4:00:24 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~001|ReportField=TotalQuantity~160|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~ChangeMe in variant|ReportField=CopyrightYear~2018|ReportField=PCB_Layout~Adam Sidelsky|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Adam Sidelsky|ReportField=PRJ_Number~MD029|ReportField=PRJ_Title~DRV8300DIPW-EVM|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~10/26/2020|ReportField=CurrentTime~3:47:47 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A_CSA.SchDoc|ReportField=DocumentName~MD029A_CSA.SchDoc|ReportField=DocumentNumber~3|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~3/24/2020|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MD029A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MD029A.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PrjPcb|ReportField=PCBDataSourceFileName~MD029A.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
63|J2|TH|Receptacle, 2.54mm, 10x2, TH|3020|76.708|750|19.05|Bottom|2970|75.438|1200|30.48|3020|76.708|750|19.05|270
64|J3|TH|Header, 2.54mm, 3x1, TH|3425|86.995|455|11.557|Top|3525|89.535|455|11.557|3425|86.995|455|11.557|180
65|J4|TH|Terminal Block, 2x1, Pitch 9.52mm|1231.453|31.2789|1832.953|46.557|Top|1418.854|36.0389|1832.953|46.557|1231.453|31.2789|1955|49.657|180
66|J5|TH|Terminal Block, 3x1, Pitch 9.52mm|2231.453|56.6789|1832.953|46.557|Top|2606.256|66.1989|1832.953|46.557|2231.453|56.6789|1955|49.657|180
67|J6|TH|Header, 2.54mm, 3x1, TH|669.685|17.01|320|8.128|Top|569.685|14.47|320|8.128|669.685|17.01|320|8.128|0
68|J7|TH|Terminal Block, 5mm, 5x1, R/A, TH|3425|86.995|1029.882|26.159|Top|3425|86.995|636.181|16.159|3425|86.995|1029.882|26.159|90
69|J8|TH|Header, 2.54mm, 3x1, TH|675|17.145|465|11.811|Top|575|14.605|465|11.811|675|17.145|465|11.811|0
70|L1|SMT|SDR1006|595|15.113|1028.15|26.115|Top|469.016|11.913|1028.15|26.115|595|15.113|1028.15|26.115|0
71|PVDD|SMT|0805 LED|560|14.224|167.677|4.259|Top|560|14.224|209.016|5.309|560|14.224|167.677|4.259|270
72|PVDD_TP|TH|Red Miniature Testpoint|1210.598|30.7492|1550|39.37|Top|1210.598|30.7492|1550|39.37|1210.598|30.7492|1550|39.37|90
73|Q1|SMT|DNK0008A|1587.953|40.334|1182.798|30.04306|Top|1662.953|42.239|1293.821|32.86306|1587.953|40.334|1182.798|30.04306|270
74|Q2|SMT|DNK0008A|1805.953|45.8712|1202.441|30.542|Top|1730.953|43.9662|1091.417|27.722|1805.953|45.8712|1202.441|30.542|90
75|Q3|SMT|DNK0008A|2053.953|52.1704|1180.571|29.9865|Top|2128.953|54.0754|1291.595|32.8065|2053.953|52.1704|1180.571|29.9865|270
76|Q4|SMT|DNK0008A|2271.953|57.7076|1195.571|30.3675|Top|2196.953|55.8026|1084.547|27.5475|2271.953|57.7076|1195.571|30.3675|90
77|Q5|SMT|DNK0008A|2520|64.008|1179.488|29.959|Top|2595|65.913|1290.512|32.779|2520|64.008|1179.488|29.959|270
78|Q6|SMT|DNK0008A|2740.072|69.59783|1195.275|30.36|Top|2665.072|67.69283|1084.252|27.54|2740.072|69.59783|1195.275|30.36|90
79|R9|SMT|0603|3520.173|89.4124|1220|30.988|Bottom|3547.732|90.1124|1220|30.988|3520.173|89.4124|1220|30.988|180
80|R10|SMT|0603|3517.732|89.3504|1018.211|25.86257|Bottom|3545.291|90.0504|1018.211|25.86257|3517.732|89.3504|1018.211|25.86257|180
81|R11|SMT|0603|3515|89.281|828.74|21.05|Bottom|3542.559|89.981|828.74|21.05|3515|89.281|828.74|21.05|180
82|R12|SMT|0603|1540|39.116|770|19.558|Bottom|1512.441|38.416|770|19.558|1540|39.116|770|19.558|0
83|R13|SMT|0603|1540|39.116|660|16.764|Bottom|1567.559|39.816|660|16.764|1540|39.116|660|16.764|180
84|R14|SMT|0603|196.269|4.98523|165.236|4.197|Top|196.269|4.98523|192.795|4.897|196.269|4.98523|165.236|4.197|270
85|R15|SMT|0603|400|10.16|155|3.937|Top|400|10.16|182.559|4.637|400|10.16|155|3.937|270
86|R16|SMT|0603|625|15.875|162.677|4.132|Top|625|15.875|190.236|4.832|625|15.875|162.677|4.132|270
87|R17|SMT|0603|825|20.955|166.339|4.225|Top|825|20.955|193.898|4.925|825|20.955|166.339|4.225|270
88|R18|SMT|0603|300.638|7.6362|1352.244|34.347|Top|300.638|7.6362|1379.803|35.047|300.638|7.6362|1352.244|34.347|270
89|R19|SMT|0603|270.638|6.8742|1277.441|32.447|Top|243.079|6.1742|1277.441|32.447|270.638|6.8742|1277.441|32.447|0
90|R20|SMT|0603|320.638|8.1442|880|22.352|Top|348.197|8.8442|880|22.352|320.638|8.1442|880|22.352|180
91|R21|SMT|0603|170.638|4.3342|905|22.987|Top|170.638|4.3342|932.559|23.687|170.638|4.3342|905|22.987|270
92|R22|SMT|0603|195.638|4.9692|1305|33.147|Top|195.638|4.9692|1332.559|33.847|195.638|4.9692|1305|33.147|270
